n_qi,combination,uniqueness,k_anonymity,joint_entropy,n_records
1,Country,0.0016148950318229315,1,2.613931576257901,21054
1,Rating,0.0,885,1.580160436117129,21054
1,Day of Week,0.0,2499,2.800218663126361,21054
1,Hour Bin,0.0,4205,1.9656880593716308,21054
1,Length Bin,0.0,5,2.2496576784133615,21054
1,Word Ct Bin,0.0,1736,2.229688265719334,21054
2,Country + Rating,0.007409518381305215,1,4.154481323873348,21054
2,Country + Day of Week,0.00968937019093759,1,5.383176445723345,21054
2,Country + Hour Bin,0.005604635698679586,1,4.467185914959486,21054
2,Country + Length Bin,0.007172033817801843,1,4.818408082473018,21054
2,Country + Word Ct Bin,0.006887052341597796,1,4.79805273944186,21054
2,Rating + Day of Week,0.0,96,4.377601886989522,21054
2,Rating + Hour Bin,0.0,174,3.5409415022670387,21054
2,Rating + Length Bin,0.0,5,3.65203323084899,21054
2,Rating + Word Ct Bin,0.0,34,3.63265682184652,21054
2,Day of Week + Hour Bin,0.0,467,4.764236285745907,21054
2,Day of Week + Length Bin,0.00014249073810202338,1,5.048399155165509,21054
2,Day of Week + Word Ct Bin,0.0,223,5.028714757182628,21054
2,Hour Bin + Length Bin,4.749691270067446e-05,1,4.211185967781002,21054
2,Hour Bin + Word Ct Bin,0.0,308,4.190876110294167,21054
2,Length Bin + Word Ct Bin,4.749691270067446e-05,1,2.768024251152893,21054
3,Country + Rating + Day of Week,0.03120547164434312,1,6.872943757427412,21054
3,Country + Rating + Hour Bin,0.018903771254868435,1,5.9759963527246525,21054
3,Country + Rating + Length Bin,0.02080364776289541,1,6.1561856179405146,21054
3,Country + Rating + Word Ct Bin,0.02075615085019474,1,6.138157847800703,21054
3,Country + Day of Week + Hour Bin,0.030398024128431653,1,7.189051035560407,21054
3,Country + Day of Week + Length Bin,0.03543269687470314,1,7.527208538046736,21054
3,Country + Day of Week + Word Ct Bin,0.03453025553339033,1,7.5070775936097975,21054
3,Country + Hour Bin + Length Bin,0.0219435736677116,1,6.63756605885747,21054
3,Country + Hour Bin + Word Ct Bin,0.021611095278806877,1,6.617428964000683,21054
3,Country + Length Bin + Word Ct Bin,0.01173173743706659,1,5.319227906823384,21054
3,Rating + Day of Week + Hour Bin,0.0,16,6.334150997278724,21054
3,Rating + Day of Week + Length Bin,0.00014249073810202338,1,6.445359091752047,21054
3,Rating + Day of Week + Word Ct Bin,4.749691270067446e-05,1,6.426626188545875,21054
3,Rating + Hour Bin + Length Bin,4.749691270067446e-05,1,5.608859764950514,21054
3,Rating + Hour Bin + Word Ct Bin,0.0,3,5.589066169456487,21054
3,Rating + Length Bin + Word Ct Bin,0.0002374845635033723,1,4.165495863902133,21054
3,Day of Week + Hour Bin + Length Bin,0.0002374845635033723,1,7.005521077212672,21054
3,Day of Week + Hour Bin + Word Ct Bin,0.0,36,6.985678002901569,21054
3,Day of Week + Length Bin + Word Ct Bin,0.0005224660397074191,1,5.5653126191141755,21054
3,Hour Bin + Length Bin + Word Ct Bin,0.0003324783889047212,1,4.727996759653593,21054
4,Country + Rating + Day of Week + Hour Bin,0.06440581362211456,1,8.605207005253188,21054
4,Country + Rating + Day of Week + Length Bin,0.06782559133656313,1,8.780005211382418,21054
4,Country + Rating + Day of Week + Word Ct Bin,0.06706564073335233,1,8.764485765830496,21054
4,Country + Rating + Hour Bin + Length Bin,0.048446850954687946,1,7.919814333713198,21054
4,Country + Rating + Hour Bin + Word Ct Bin,0.04754440961337513,1,7.902058420174176,21054
4,Country + Rating + Length Bin + Word Ct Bin,0.02930559513631614,1,6.638349113210663,21054
4,Country + Day of Week + Hour Bin + Length Bin,0.07685000474969127,1,9.246410383237187,21054
4,Country + Day of Week + Hour Bin + Word Ct Bin,0.0758525695829771,1,9.229125431882004,21054
4,Country + Day of Week + Length Bin + Word Ct Bin,0.04787688800227985,1,7.998678008420053,21054
4,Country + Hour Bin + Length Bin + Word Ct Bin,0.03134796238244514,1,7.120239048707593,21054
4,Rating + Day of Week + Hour Bin + Length Bin,0.0018048826826256293,1,8.38496415679001,21054
4,Rating + Day of Week + Hour Bin + Word Ct Bin,0.0018998765080269783,1,8.366183216758229,21054
4,Rating + Day of Week + Length Bin + Word Ct Bin,0.001662391944523606,1,6.953267783854972,21054
4,Rating + Hour Bin + Length Bin + Word Ct Bin,0.0007124536905101168,1,6.118232079800305,21054
4,Day of Week + Hour Bin + Length Bin + Word Ct Bin,0.0016148950318229315,1,7.51626540437217,21054
5,Country + Rating + Day of Week + Hour Bin + Length Bin,0.12353946993445426,1,10.39869024203001,21054
5,Country + Rating + Day of Week + Hour Bin + Word Ct Bin,0.12330198537095088,1,10.385860369616589,21054
5,Country + Rating + Day of Week + Length Bin + Word Ct Bin,0.08430702004369715,1,9.222195840399042,21054
5,Country + Rating + Hour Bin + Length Bin + Word Ct Bin,0.06122352047116937,1,8.376124010429642,21054
5,Country + Day of Week + Hour Bin + Length Bin + Word Ct Bin,0.09337893036952598,1,9.684608494082195,21054
5,Rating + Day of Week + Hour Bin + Length Bin + Word Ct Bin,0.010306830056046356,1,8.874368746972946,21054
6,Country + Rating + Day of Week + Hour Bin + Length Bin + Word Ct Bin,0.14923529970551913,1,10.792349053647694,21054
